store_name,city_name,full_address,Coordinates(Longtude/Latitude),phone_no,store_timing
 Vishal Mega Mart ,Jharsuguda," Sarbhal Road, Opposite Income Tax Office, Sarbahal, Jharsuguda, Odisha 768201","21.8496466,84.012996",0721 7888 236 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Giridh," Pachamba Main Road, Near Bajaj Showroom, Boro, Giridh, Jharkhand 815316","24.1978273,86.2813",0799 1171 187 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bargarh," Akash Complex, Bhatli Chowk, National Highway 6, Nigamananda Bihar, Bargarh, Odisha 768028","21.3425786,83.6082291",0782 7050 114 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bhagalpur," Dr RP Road, Near Kotwali Thana, Goshalla, Bhagalpur, Bihar 812002","25.246155,86.9729352",0976 0088 454 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bhagalpur," Ward No 32, New Police Line Road, Lalbagh, Tilka Manjhi, Bhagalpur, Bihar 813108","25.2511369,86.9968335",0721 7887 962 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sundergarh," Plot No 554-1886, Kachery Road, Udit Nagar, Rourkela, Sundergarh, Odisha 769012","22.2266701,84.8453791",0721 7888 383 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sambalpur," Ainthapali Road, Near Hotel Dolphin, Sakhipara, Sambalpur, Odisha 768004","21.4870273,83.9842734",0828 7515 536 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Deoghar," Dumka Road, Shiv Tower Mandir More, Beside Agrahari Dharamsala, Jhoushagari, Deoghar, Jharkhand 814112","24.4904114,86.7033097",0962 5215 645 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bhagalpur," Kiara 2, Anand Vihar Colony, Kajipura, National Highway 80, Kahalgaon, Bhagalpur, Bihar 813203","25.2673893,87.2367195",0828 7923 197 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dhanbad," Binod Bihari Chowk, Near Ashrafi Hospital, Jharudih, Dhanbad, Jharkhand 826001","23.8162387,86.4114559",0962 5005 079 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dhanbad," Ward No 32, Khata No 422, Khsra No 374, Bank More, Dhanbad, Jharkhand 826001","23.7860142,86.4174117",0721 7888 312 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Purnia," Rajni Chowk, Bhatta Bazaar, Dharamshala Road, Sajjad Colony, Purnia, Bihar 854301","25.7715719,87.4823816",0993 3363 433 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Balangir," Swosti Tower, Old Palace Road, Front of Town Police Station, Rugudipada, Balangir, Odisha 767001","20.7041005,83.4862829",0828 7947 056 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Puruliya," Barakar Road, Purulia, Near Rajsthan Vidyapith, Garikhana, Puruliya, West Bengal 723101","23.3380197,86.3686733",0859 5939 566 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kishanganj," Khagra mela gate, Nawab Road 2, Near Khagra Mela Ground, Khagra, Kishanganj, Bihar 855107","26.0903049,87.9394589",0798 5921 242 ,10:00 AM to 09:00 PM
